province,province_id,year,suicide,population,E,debt,income,poverty,expenditure,homicide crime,property crime,shocking crime
Ang Thong,2,2013,14,283807,19.09561499,24659.08277,24462.08277,12.85672302,19286.69693,145.3026433,279.0575042,19.20917062
Bangkok Metropolis,3,2013,95,5679906,382.1656907,48138.38476,47941.38476,2.860439052,33333.13367,3544.816468,9548.85991,503.128395
Bueng Kan,4,2013,26,414425,27.8840911,20422.72085,20225.72085,4.806586601,19241.38382,86.257662,110.0376609,17.05352465
Buri Ram,5,2013,85,1570090,105.6416302,17305.86761,17108.86761,29.51045937,14168.18194,364.3662231,318.4314805,30.87762278
Chachoengsao,6,2013,43,687973,46.28944153,28685.78416,28488.78416,4.217789883,22498.36516,346.13846,806.5084005,43.56903824
Chai Nat,7,2013,31,332971,22.40355601,25372.34848,25175.34848,17.84053102,17001.95118,133.6160029,170.0157603,16.4912733
Chaiyaphum,8,2013,64,1134379,76.32533602,19334.04801,19137.04801,13.14669894,15289.11018,266.7002276,221.8517434,30.58657633
Chanthaburi,9,2013,68,523036,35.1918525,28955.79988,28758.79988,9.900813148,19914.20925,298.5543846,481.4397941,29.19262414
Chiang Mai,10,2013,204,1661265,111.7762312,16004.17694,15807.17694,11.42478796,13424.00058,469.9437225,1761.842913,95.13947496
Chiang Rai,11,2013,130,1202542,80.91160206,14190.90759,13993.90759,20.25246258,11689.83558,296.5047337,408.4014228,56.0784769
Chon Buri,12,2013,70,1377178,92.66177672,26405.88965,26208.88965,1.141221357,24172.99309,699.3221538,2062.294801,141.713557
Chumphon,13,2013,50,496802,33.42672915,28459.89611,28262.89611,4.428353494,23079.0819,296.4695478,329.3717929,57.30654094
Kalasin,14,2013,65,984557,66.24474171,15710.15348,15513.15348,32.59406733,12312.01159,202.5085551,387.6035985,33.50979625
Kamphaeng Phet,15,2013,67,728093,48.98886781,20522.39817,20325.39817,8.856337942,15969.27742,214.7197473,267.9126754,31.79657207
Kanchanaburi,16,2013,63,840575,56.55708482,17768.55432,17571.55432,19.20879409,16257.55532,335.3813642,604.5321757,56.54282018
Khon Kaen,17,2013,76,1778236,119.6464852,18554.29962,18357.29962,8.602948782,14318.58356,411.7457508,797.1084439,65.90768058
Krabi,18,2013,30,447929,30.13836772,30630.19018,30433.19018,6.59692481,23830.64549,256.9398527,483.9933058,61.96714355
Lampang,19,2013,89,755837,50.85558971,19571.97371,19374.97371,13.33055897,15260.02203,171.5090355,324.4618966,29.89076073
Lamphun,20,2013,60,404971,27.24799001,21824.16651,21627.16651,6.836609735,19071.49122,105.3270742,308.0591085,15.71281694
Loei,21,2013,52,630997,42.45587943,18548.20262,18351.20262,8.815659256,15267.5815,146.8976785,261.9064763,26.61019474
Lop Buri,22,2013,54,758015,51.00213384,21301.82496,21104.82496,13.16981541,16198.82259,252.9518702,537.9056993,40.95640143
Mae Hong Son,23,2013,30,245453,16.51501192,10889.22976,10692.22976,52.55987896,8706.192718,62.99236449,78.03710927,8.612135898
Maha Sarakham,24,2013,47,950397,63.94632691,21894.47888,21697.47888,15.07629607,15145.30754,208.7900845,348.4999702,19.48581116
Mukdahan,25,2013,16,343586,23.1177736,19550.77047,19353.77047,20.49838946,14900.5838,94.08382146,118.8117228,15.32671831
Nakhon Nayok,26,2013,14,255629,17.19969192,21407.70967,21210.70967,10.31958365,16681.25968,100.3268735,237.9956101,16.80507238
Nakhon Pathom,27,2013,54,878400,59.10209477,30784.78402,30587.78402,3.072934098,21614.66117,415.1178277,931.7094505,74.94771376
Nakhon Phanom,28,2013,31,709605,47.74492482,14897.96758,14700.96758,28.84410935,12138.82566,119.2348549,171.5789488,20.28690866
Nakhon Ratchasima,29,2013,168,2605666,175.3191244,22768.7516,22571.7516,14.89315317,16250.75405,686.4901682,799.5504639,67.48127562
Nakhon Sawan,30,2013,88,1073245,72.21200786,22788.4369,22591.4369,11.3486136,15012.21251,446.1133824,775.7127339,60.01182311
Nakhon Si Thammarat,31,2013,126,1538365,103.5070515,27649.69569,27452.69569,11.10048912,20512.72775,725.7707725,933.8034135,167.939432
Nan,32,2013,51,477793,32.14773129,17435.5578,17238.5578,21.95087213,14014.44058,101.5397125,131.7055889,14.13959075
Narathiwat,33,2013,12,761771,51.25485181,17969.18115,17772.18115,33.84911273,13210.01682,385.74859,725.9625555,189.6008172
Nong Bua Lam Phu,34,2013,30,506104,34.05260311,18375.80087,18178.80087,18.68766611,15871.46173,116.5239334,146.9708411,13.7154774
Nong Khai,35,2013,23,513691,34.56308534,18855.67842,18658.67842,6.77900179,16681.01581,101.4951029,155.0860062,13.83845384
Nonthaburi,36,2013,26,1148973,77.30727588,34292.91338,34095.91338,1.264136772,29308.05482,306.095766,1222.53806,77.95259251
Pathum Thani,37,2013,24,1043498,70.21051649,31325.05799,31128.05799,1.187522625,27717.27827,506.5383209,1529.904172,86.43130375
Pattani,38,2013,8,675227,45.43184215,18173.30717,17976.30717,37.71280071,15007.61855,357.1050527,538.4146997,208.132322
Phangnga,39,2013,24,258437,17.38862485,26622.94162,26425.94162,4.960061776,19712.50965,138.0127949,161.7169108,23.02010885
Phatthalung,40,2013,41,516257,34.73573559,24477.31918,24280.31918,14.47688509,17739.93678,250.2681531,357.9831182,88.8919849
Phayao,41,2013,64,487433,32.79634718,16013.15012,15816.15012,14.83906886,12120.93424,111.5847626,132.311585,15.8051004
Phetchabun,42,2013,94,994050,66.88346688,19055.58389,18858.58389,10.46828445,14075.66645,253.1508966,263.8127986,42.24052816
Phetchaburi,43,2013,29,469981,31.6221102,22776.5068,22579.5068,6.243606734,19580.6092,279.0244345,334.3224844,33.92341712
Phichit,44,2013,30,549126,36.94728699,20787.75638,20590.75638,3.458145267,16031.93354,138.954218,229.3801721,15.99170776
Phitsanulok,45,2013,45,855374,57.55281786,21712.59838,21515.59838,8.655338205,17853.81027,340.8060037,640.6313104,43.86304757
Phra Nakhon Si Ayutthaya,46,2013,36,795740,53.5404154,25820.25215,25623.25215,4.242502165,21149.98447,357.0003888,1079.095588,59.52839264
Phrae,47,2013,53,456841,30.738001,19926.3054,19729.3054,14.30590749,15077.26948,105.8220336,150.6097824,14.08498802
Phuket,48,2013,18,365214,24.57298775,29976.34517,29779.34517,2.128317195,25777.05318,242.4692148,613.9679379,41.68422842
Prachin Buri,49,2013,31,474969,31.95772182,23649.13243,23452.13243,8.469166937,20494.07517,216.1420902,539.0885743,35.53608041
Prachuap Khiri Khan,50,2013,38,518661,34.89748585,23341.15146,23144.15146,8.225906759,21597.10982,245.9340222,425.0783732,44.07725674
Ranong,51,2013,11,178712,12.02442345,27082.35347,26885.35347,14.85084755,20647.98087,91.55903036,124.9982114,16.0737899
Ratchaburi,52,2013,61,848397,57.08337875,21634.24385,21437.24385,16.53234457,16103.95915,400.9498038,602.1005839,64.22735837
Rayong,53,2013,54,655248,44.087579,27613.76722,27416.76722,2.58886582,21747.84088,358.260491,1035.942856,47.51825397
Roi Et,54,2013,49,1308765,88.05868973,20423.16718,20226.16718,9.05599251,16570.99827,319.0902624,376.2681265,28.57425857
